gram,gram	freq,kropek brajl,,,,,,,,znak,freq
e,	17951072,2,,,,b,,,,a,"8,91%"
i,	17822353,2,,,,c,,,,i,"8,21%"
a,	17666672,1,,,,e,,,,o,"7,75%"
o,	15325917,3,,,,i,,,,e,"7,66%"
z,	12466138,4,,,,k,,,,z,"5,64%"
n,	10015804,4,,,,ą,,,,n,"5,52%"
s,	8885775,3,,,,,,,,r,"4,69%"
t,	8861852,4,,,,,,,,w,"4,65%"
m,	8325590,3,,,,,,,,s,"4,32%"
c,	8072162,2,,,,,,,,t,"3,98%"
w,	7635959,4,,,,,,,,c,"3,96%"
y,	7555979,5,,,,,,,,y,"3,76%"
r,	7461781,4,,,,,,,,k,"3,51%"
d,	6939193,3,,,,,,,,d,"3,25%"
k,	5884516,2,,,,,,,,p,"3,13%"
j,	5873803,3,,,,,,,,m,"2,80%"
p,	5860204,4,,,,,,,,u,"2,50%"
u,	4094744,3,,,,,,,,j,"2,28%"
b,	3871713,2,,,,,,,,l,"2,10%"
ł,‚	3813062,3,,,,,,,,ł,"1,82%"
l,	3787886,3,,,,,,,,b,"1,47%"
ę,	3731711,3,,,,,,,,g,"1,42%"
g,	2612350,4,,,,,,,,ę,"1,11%"
ą,2279552,2,,,,,,,,h,"1,08%"
ó,	2194693,3,,,,,,,,ą,"0,99%"
ż,1863097,5,,,,,,,,ó,"0,85%"
h,	1855220,3,,,,,,,,ż,"0,83%"
ś,1617721,3,,,,,,,,ś,"0,66%"
ć,1471452,3,,,,,,,,ć,"0,40%"
f,	364372,3,,,,,,,,f,"0,30%"
ń,294852,4,,,,,,,,ń,"0,20%"
ź,286255,5,,,,,,,,q,"0,14%"
v,	13563,4,,,,,,,,ź,"0,06%"
x,	10496,4,,,,,,,,v,"0,04%"
q,	2106,5,,,,,,,,x,"0,02%"
